,Title,Author,Call_Number,Year,Type,Subject
33, Tratado de la defensa de las plazas [Texto impreso] : con varias observaciones utiles,"Le Blond, Guillaume 1704-1781",3/46425,1777,Monographs,Ingeniería
34, Conversaciones instructivas en que se trata de fomentar la agricultura por medio del riego de las tierras ... [Texto impreso] : van ilustradas con planos,"Vidal y Cabasés, Francisco m. 1802",2/16798,1778,Monographs,Ingeniería
35, Memorias de arquitectura hidraulica,"Chimioni, Luis",VE/413/31,1781,Monographs,Ingeniería
36," Nueva maquina para elevar el agua por medio de una soga vertical sin fin ó cuyos extremos estan unidos : (publicada en el Mercurio del mes de julio de 1782, pag. 250) : con dos extractos del Diario de París, que tratan de ella, y una Disertacion sobre sus efectos comparados con los de otras Máquinas de esta clase ya conocidas","Suárez y Núñez, Miguel Jerónimo m. 1791 traductor",2/32697,1783,Monographs,Ingeniería
37," Breve resumen de los tratados, y proposiciones que para materia de su exâmen","Carvajal y Vargas, José Miguel",VE/323/20,1787,Monographs,Ingeniería
38," [Presa de El Gasco, Madrid]",Anónimo español s. XVIII,DIB/15/85/26,1787,"Drawings, Posters, Photos",Ingeniería
39, Plano de la Corbeta Alcudia para correo del porte de 20 cañones del calibre de a 8,Anónimo español s. XVIII-XIX,DIB/18/1/3551,1792,"Drawings, Posters, Photos",Ingeniería
40, Bergantín capaz de montar 20 cañones de a 6,Anónimo español s. XVIII,DIB/18/1/3552,1793,"Drawings, Posters, Photos",Ingeniería
41," Descripción de los aparatos inventados para elevar agua y otros fluidos, y modos de realizarlo","Boulton, Matthew 1728-1809",MSS/11268/20,1797,Manuscripts and Personal Archives,Ingeniería
42, Lecciones de navegación interior,"Sierra, Pedro s. XIX",MSS.MICRO/19790,1801,Manuscripts and Personal Archives,Ingeniería
43, Curso de construcción de ingenieros civiles. Tomo I [Manuscrito],NA,MSS/2271,1801,Manuscripts and Personal Archives,Ingeniería
44, Ordenanza que S.M. manda observar en el servicio del Real Cuerpo de Ingenieros [Texto impreso] ; [tomo I-II],España Rey (1788-1808: Carlos IV),1/10912,1803,Monographs,Ingeniería
45, Dictamen sobre la necesidad y utilidad de la continuacion del Canal de Manzanares hasta el Real Sitio de Aranjuez ... [Texto impreso],"Hermosilla, Miguel",VC/1136/14,1804,Monographs,Ingeniería
46," Relación de los caminos más principales que dirigen a Portugal desde Orense, con expresión de todas sus circustancias","Benavides, Antonio n. 1776",MSS/18633/98,1805,Manuscripts and Personal Archives,Ingeniería
47, Reflexiones que debe tener presente el gobernador de una plaza sitiada [Manuscrito] Tomo 2º,"Rodríguez Berlanga, Mauricio",MSS/23222,1805,Manuscripts and Personal Archives,Ingeniería
48," Método facil y económico para limpiar los canales navegables, y las rias y puertos, especialmente del océano","Mor de Fuentes, José 1762-1848",VE/529/99,1806,Monographs,Ingeniería
49, Instruccion dirigida á los oficiales de Infanteria para trazar y construir toda suerte de obras de campaña ... [Texto impreso],"Gaudy, Friedrich Wilhelm von",Jan-72,1806,Monographs,Ingeniería
50, Instruccion dirigida á los oficiales de Infantería para trazar y construir toda suerte de obras de campaña ... [Texto impreso],"Gaudy, Friedrich Wilhelm von",1/71215,1806,Monographs,Ingeniería
51, Lecciones de diseño militar dictadas en la Real Academia de la Isla de Leon,"Domingo, Miguel fl. 1805-1823 impresor",2/56396,1811,Monographs,Ingeniería
52," Oda á los Aspirantes al Real Cuerpo de Ingenieros, concluido el segundo curso de Estudios [Texto impreso]","Ruiz y Belluga, Manuel",VC/625/22,1818,Monographs,Ingeniería
53, Noticia de la aplicacion de los materiales volcanizados de la Villa de Olot a ciertas especies de construcciones de obras y mayormente a las de hidráulica,"Celles y Azcona, Antonio",VC/2092/75,1820,Monographs,Ingeniería
54, Plano para la fragata del porte de 44 cañones y carronadas de a 24,"Caldes, Juan fl. 1818-1841",DIB/18/1/3555/1,1826,"Drawings, Posters, Photos",Ingeniería
55, Curso elemental de fortificacion ... [Texto impreso] : para uso del Real Colejio Jeneral Militar,"Vallejo, Andrés, Capitán",1/71736,1827,Monographs,Ingeniería
56," Cartilla práctica de construccion naval : dispuesta en forma de vocabulario : con algunos apéndices, y las nomenclaturas francesa, inglesa é italiana, con su correspondencia en castellano : para uso de los principiantes en este ramo tan esencial de la marina","O'Scanlan de Lacy, Timoteo",1/32492,1829,Monographs,Ingeniería
57, Goleta de velacho para montar un cañón del calibre de a 18 en coliza,"Caldes, Juan fl. 1818-1841",DIB/18/1/3553,1833,"Drawings, Posters, Photos",Ingeniería
58, Mecánica aplicada a las máquinas operando o Tratado teórico y experimental sobre el trabajo de las fuerzas,"Odriozola, José de",1/43010,1839,Monographs,Ingeniería
59, Introducción al estudio de la arquitectura hidraúlica : para el uso de la Academia Especial de Ingenieros,"Piélago, Celestino del 1792-1880",1/37812,1841,Monographs,Ingeniería
60, Plano para un Bergantin del porte de 500 toneladas de arqueo o capacidad de bodega y entrepuentes,"Caldes, Juan fl. 1818-1841",DIB/18/1/3554,1843,"Drawings, Posters, Photos",Ingeniería
61," Memorial de ingenieros [Texto impreso] : memorias, artículos y noticias interesantes al arte de la guerra en general y a la profesión de ingenieros en particular",NA,D/6912,1846,Newspapers/Magazines,Ingeniería
62," Resumen histórico del arma de Ingenieros en general, y de su organización en España [Texto impreso]",NA,2/774,1846,Monographs,Ingeniería
63," Relación del viaje a Francia, el Rhin, la Bélgica é Inglaterra, que de órden del gobierno de S.M. hizo en 1844 y 1845 el coronel Don Celestino del Piélago ... [Texto impreso]","Piélago, Celestino del 1792-1880",GMM/1634(1),1847,Monographs,Ingeniería
64," Tablas de nivelación de Madrid [Manuscrito] :  que comprenden todas sus calles y plazas, el Real Sitio del Buen Retiro, la montaña del Príncipe Pío, los jardines del Campo del Moro, y las afueras de la Puerta de Segovia","Rafo, Juan",MSS.MICRO/20144,1848,Manuscripts and Personal Archives,Ingeniería
65, Noticia de algunas variaciones propuestas a la Escuela Práctica de Ingenieros en Guadalajara en 1849 [Texto impreso] : relativas al asunto de los manuales adoptados en aquellas enseñanzas,España Ejército de Tierra Cuerpo de Ingenieros,9/261085(4),1850,Monographs,Ingeniería
66, Compendio de las cuarenta y cinco lecciones [Texto impreso] : esplicadas en la Academia teórico práctica de Sobrestantes-Aparejadores y Capataces de caminos vecinales,"Salinas, Cándido",1/43041,1851,Monographs,Ingeniería
67, Revista de obras públicas,NA,D/1349,1853,Newspapers/Magazines,Ingeniería
68, Revista de obras públicas. Colección de memorias y documentos relativos a la ciencia del ingeniero y al arte de construir [Texto impreso],NA,REVMICRO/2379&lt;1&gt;,1856,Newspapers/Magazines,Ingeniería
69," Disertacion teórica sobre el modo de producir un motor permanente sin consumo de combustible ni otra materia alguna, por medio de la combinación de la presión atmosférica con la fuerza elástica de un resorte sólido poligonal [Texto impreso] : ó sea Resolución teórica del célebre problema del movimiento contínuo","Marron y Villodas, Francisco",1/42039,1857,Monographs,Ingeniería
70, Memorias sobre la verificación y sello de los contadores para gas de Barcelona y de la villa de Gracia [Manuscrito],"Llados y Rius, Magin",MSS.MICRO/21129,1860,Manuscripts and Personal Archives,Ingeniería
71, Discursos leídos ante la Real Academia de Ciencias en la recepción pública del Excmo. Sr. D. Lucio del Valle,"Valle, Lucio del 1815-1874",HA/16242(1),1861,Monographs,Ingeniería
72," Discursos leídos ante la Real Academia de la Historia, en la recepción pública : Las obras públicas en los antiguos tiempos [Texto impreso]","Saavedra, Eduardo 1829-1912",VC/1/40,1862,Monographs,Ingeniería
73, [Instrumentos de navegación] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/428,1863,"Drawings, Posters, Photos",Ingeniería
74, [Escusabarajas] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/657,1863,"Drawings, Posters, Photos",Ingeniería
75, [Armas del siglo XV] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/644,1863,"Drawings, Posters, Photos",Ingeniería
76, [Maquinaría de un barco de vapor] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/615,1863,"Drawings, Posters, Photos",Ingeniería
77, [Anclas y caricaturas] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/499,1863,"Drawings, Posters, Photos",Ingeniería
78, [Piezas de una ballesta] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/488,1863,"Drawings, Posters, Photos",Ingeniería
79, [Cañón de marina en el siglo XVII] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/484,1863,"Drawings, Posters, Photos",Ingeniería
80, [Hélice] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/323,1863,"Drawings, Posters, Photos",Ingeniería
81, [Hipótesis de la colocación de los remos en las multirremes romanas] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/255,1863,"Drawings, Posters, Photos",Ingeniería
82, [Diseño hipotético transversal de los multirremes romanos] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/256,1863,"Drawings, Posters, Photos",Ingeniería
84, Manera de trazar un ancla en el siglo XVI [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/218,1863,"Drawings, Posters, Photos",Ingeniería
85, [Cañones] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/92,1863,"Drawings, Posters, Photos",Ingeniería
86, [Armas de fuego] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/54,1863,"Drawings, Posters, Photos",Ingeniería
88, [Elementos relacionados con barcos] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/47,1863,"Drawings, Posters, Photos",Ingeniería
89, [Barras de seguridad para cerrar puertas] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/18,1863,"Drawings, Posters, Photos",Ingeniería
90, VIROTE del Siglo XV [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/11,1863,"Drawings, Posters, Photos",Ingeniería
91, [Entablamento de un barco] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/6,1863,"Drawings, Posters, Photos",Ingeniería
92, [Secciones transversales de la torre del piloto] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/2,1863,"Drawings, Posters, Photos",Ingeniería
93, Memoria sobre la construcción de los puentes de San Salvador y Revilla,"González de la Vega, Cayetano",BU/7427(2),1865,Monographs,Ingeniería
94, PROYECTO DE PUENTE DE FÁBRICA,"Federico, Francisco de 1846-1910",DIB/18/1/4481,1868,"Drawings, Posters, Photos",Ingeniería
95, [Marine Royale Espagnole] [Material gráfico],Anónimo francés s. XIX,DIB/15/86/48,1868,"Drawings, Posters, Photos",Ingeniería
96, Curso de mecánica aplicada a las máquinas [Texto impreso] : máquinas de vapor : lecciones orales esplicadas,"Pérez, Artemio",1/45247,1868,Monographs,Ingeniería
97, Modelo del montaje del cañón rayado [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/610,1869,"Drawings, Posters, Photos",Ingeniería
98, Aplicaciones de la geología a la práctica del ingeniero de caminos [Texto impreso],"Inchaurrandieta, Rogelio 1836-1916",VC/974/19,1869,Monographs,Ingeniería
99, Discurso leído en la inauguración de la Escuela Libre-Profesional de Huelva [Texto impreso],"Bel y Román, Horacio",VC/935/5,1870,Monographs,Ingeniería
100," Manual del ingeniero y arquitecto [Texto impreso] : resumen de la mayor parte de los conocimientos elementales y de aplicación. en las profesiones de ingeniero y arquitecto, comprendiendo multitud de tablas, formulas ..  y por separado un atlas de 133 láminas","Valdés, Nicolás",1/66848,1870,Monographs,Ingeniería
101, [Carroza] [Material gráfico],"Fortuny, Mariano 1838-1874",DIB/18/1/5684,1870,"Drawings, Posters, Photos",Ingeniería
102, Curso de mecánica aplicada á las máquinas [Texto impreso] : resistencia de materiales : lecciones orales esplicadas,"Pérez, Artemio",1/43525,1871,Monographs,Ingeniería
103, El consultor de la maquinaria ó sea Tratado completo de mecánica,"Facerías y Coletas, Lorenzo",2/58159,1872,Monographs,Ingeniería
104, Memorial de ingenieros y revista científico-militar [Texto impreso],Memorial de ingenieros y revista científico-militar (Ed. quincenal),D/1461,1875,Newspapers/Magazines,Ingeniería
106, Anales de la construcción y de la industria,"Anales de la construcción y de la industria (Madrid, CD-ROM)",REVCD/2182,1876,Newspapers/Magazines,Ingeniería
107," Suplemento a la Biblioteca del constructor, del industrial, bellas artes, obras públicas y ciencias exactas","Cámara, Marcial de la n. 1832 director de la publicación",1/23870,1876,Monographs,Ingeniería
108, Anales de la construcción y de la industria [Texto impreso],Anales de la construcción y de la industria (Madrid),D/6660,1876,Newspapers/Magazines,Ingeniería
109, Manual del forestal [Texto impreso],"Beaumont y Peralta, Ricardo 1830-1908",1/39140,1877,Monographs,Ingeniería
110, Memorial de ingenieros del ejército [Texto impreso] : revista quincenal,Memorial de ingenieros del ejército (Ed. quincenal),D/1461,1881,Newspapers/Magazines,Ingeniería
111," Memorial de ingenieros del ejército [Texto impreso] : memorias, legislación y documentos oficiales",Memorial de ingenieros del ejército (Ed. anual),D/5391,1881,Newspapers/Magazines,Ingeniería
112, Boletín de la Asociación Central de Ingenieros Industriales [Texto impreso],NA,D/1346,1881,Newspapers/Magazines,Ingeniería
113, Boletín de la Asociación Central de Ingenieros Industriales Biblioteca industrial [Texto impreso],NA,D/1346,1884,Newspapers/Magazines,Ingeniería
114," Buenos Aires (Argentina, Puerto) Ingeniería de puertos y costas 1885 (1886)","Hawkshaw, John",SG/2828 MAPA 2,1886,Maps,Ingeniería
115," Buenos Aires (Argentina, Puerto) Ingeniería de puertos y costas 1886","Huergo, Luis Augusto 1837-1913",SG/2828 MAPA 1,1886,Maps,Ingeniería
116, [Ancla] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/16/21/35,1887,"Drawings, Posters, Photos",Ingeniería
117, [Cañón de un barco] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/16/21/30,1887,"Drawings, Posters, Photos",Ingeniería
119," El Ingeniero y ferretero español y sud-americano [Texto impreso] : con el cual está incorporada %5C%5C""La Gaceta sud-americana y de España%5C%5C""",NA,ZA/1967,1887,Newspapers/Magazines,Ingeniería
120, Discurso pronunciado por el presidente Excmo. Sr. D. Juan Navarro Reverter en la sesión de clausura del Congreso Internacional de Ingeniería,"Navarro Reverter, Juan 1844-1924",VC/120/30,1888,Monographs,Ingeniería
121," Manual del ingeniero en campaña [Texto impreso] : colección de fórmulas, tablas, datos y reglas prácticas","Muñoz López, José",1/71390,1890,Monographs,Ingeniería
122, Revista de obras públicas. Anales [Texto impreso],NA,D/2711,1893,Newspapers/Magazines,Ingeniería
123," Madrid científico : revista de ciencias, ingeniería y electricidad",Madrid científico (Internet),ACCESO REMOTO,1894,Newspapers/Magazines,Ingeniería
125," Estudios críticos acerca de la dominación española en América. XIV. Parte cuarta, Bellas artes [2] [Texto impreso]","Cappa, Ricardo",HA/15585,1895,Monographs,Ingeniería
126, Discursos leídos en la sesión inaugural del año académico de 1896-1897 en la Sociedad Española de Higiene celebrada en 15 de diciembre de 1896,"Belmás, Mariano 1850-1916",SG.FOLL/1886,1896,Monographs,Ingeniería
127," Manual del constructor y formulario [Texto impreso] : para uso de los arquitectos, ingenieros agrónomos, ingenieros electricistas, ingenieros de caminos, canales y puertos","Soroa y Fernández de la Somera, José María de",1/47396,1896,Monographs,Ingeniería
128," Montevideo (Uruguay, Bahía) Ingeniería de puertos y costas 1897?","Varela, Jacobo A.",GMG/69(H.59R),1897,Maps,Ingeniería
130, Manual de trabajos de campo : para uso de los ingenieros industriales y demás personal facultativo dedicado á trabajos y obras de carácter industrial [Texto impreso],"Barreto y López, Román R.",2/44666,1899,Monographs,Ingeniería
131, Manual de trabajos de campo [Texto impreso] : para uso de los ingenieros industriales y demás personal facultativo dedicado á trabajos y obras de carácter industrial,"Barreto y López, Román R.",1/63625,1899,Monographs,Ingeniería
132, Boletín oficial de la Asociación de Ingenieros Industriales [Texto impreso],NA,D/1346,1900,Newspapers/Magazines,Ingeniería
133, Artes e industrias [Texto impreso] : ingeniería y construcciones : revista quincenal ilustrada : órgano de las escuelas de artes e industrias,NA,D/8407,1902,Newspapers/Magazines,Ingeniería
134, La Construcción moderna : revista quincenal de arquitectura e ingeniería,La Construcción moderna (Internet),ACCESO REMOTO,1903,Newspapers/Magazines,Ingeniería
136, Boletín industrial [Texto impreso] : órgano oficial de la Asociación de Ingenieros Industriales (Agrupación de Madrid),NA,D/1346,1903,Newspapers/Magazines,Ingeniería
137," Ingeniería [Texto impreso] : revista industrial, de minas, electricidad, obras públicas, cultivos, arquitectura, economía, ciencia y arte",Ingeniería (Madrid. 1905),D/6666,1905,Newspapers/Magazines,Ingeniería
138, Boletín tecnológico de la Asociación de Peritos Industriales [Texto impreso],NA,D/2602,1905,Newspapers/Magazines,Ingeniería
139, Las obras de riego en los Estados Unidos de América [Texto impreso],"Nicolau y Sabater, José",SG/2563,1908,Monographs,Ingeniería
140, Anuario de la Escuela Especial de Ingenieros de Caminos Canales y Puertos [Texto impreso],NA,D/6037,1909,Newspapers/Magazines,Ingeniería
141, Noticias sobre el servicio de información bibliográfica establecido en la Biblioteca de Ingenieros del Ejercito [Texto impreso],"Giménez, Leopoldo",1/57016,1909,Monographs,Ingeniería
142, Las tropas de ingenieros en la Campaña de Melilla : (continuación),"Marvá y Mayer, José 1846-1937",AFRC/7313/3,1910,Monographs,Ingeniería
143, Anuario técnico e industrial de España [Texto impreso],NA,D/2879,1911,Newspapers/Magazines,Ingeniería
144, Ingeniería civil [Texto impreso],NA,6/9495&lt;4/1&gt;,1911,Monographs,Ingeniería
145," Informes i monografías presentadas al Ministerio de Instrucción Pública por la Delegación Chilena al Congreso Científico Internacional-Americano, celebrado en Buenos Aires del 10 al 25 de Julio de 1910 [Texto impreso]",Congreso Científico Internacional Americano 1910 Buenos Aires,HA/3052,1911,Monographs,Ingeniería
146," [Marruecos, agricultura]","Ros, Bartolomé 1906-1974 fotógrafo",AFRFOT/1/2273-2283,1912,"Drawings, Posters, Photos",Ingeniería
147," [Marruecos, infraestructuras]","Ros, Bartolomé 1906-1974 fotógrafo",AFRFOT/1/2259-2272,1912,"Drawings, Posters, Photos",Ingeniería
148," [Marruecos, fuentes]",NA,AFRFOT/1/2247-2251,1912,"Drawings, Posters, Photos",Ingeniería
149, Marruecos,"García Cortés, Francisco 1900-1976 fotógrafo",AFRFOT/1/2200-2203,1912,"Drawings, Posters, Photos",Ingeniería
150," [Marruecos, sector agropecuario y aprovechamiento forestal]","Ros, Bartolomé 1906-1974 fotógrafo",AFRFOT/1/2120-2171,1912,"Drawings, Posters, Photos",Ingeniería
151, Larache,"García Cortés, Francisco 1900-1976 fotógrafo",AFRFOT/1/2099-2117,1912,"Drawings, Posters, Photos",Ingeniería
152," Nociones de economía rural e ingeniería práctica, adaptada a la agricultura [Texto impreso]","Loria, Francisco",HA/4037,1913,Monographs,Ingeniería
153, Conservadores y forestales : conferencia leída en el Círculo Conservador el día 15 de febrero de 1914,"Codorniu y Stárico, Ricardo 1846-1923",VC/2534/10,1914,Monographs,Ingeniería
154, Memorias presentadas por los ingenieros pensionados en el extranjero,NA,AHS/55523,1915,Newspapers/Magazines,Ingeniería
155," Manual de mecánica, electricidad y cerrajería [Texto impreso] : electrocultura, electrotipia, galvanoplastia","Bizkaya, Luis de fl. 1890-1926",1/73563,1916,Monographs,Ingeniería
156, [Ejercicios de dibujo a mano alzada para Academia Oteiza IV],"Chávarri, Antonio R. de",DIB/18/2/2059/1-5,1917,"Drawings, Posters, Photos",Ingeniería
157, [Ejercicios de dibujo a mano alzada para Academia Oteiza I],"Chávarri, Antonio R. de",DIB/18/2/2056/1-5,1917,"Drawings, Posters, Photos",Ingeniería
158, [Ejercicios de dibujo a mano alzada para Academia Oteiza],"Chávarri, Antonio R. de",XX(7081435.1),1917,"Drawings, Posters, Photos",Ingeniería
159, [Ejercicios de dibujo lineal para Academia Oteiza],"Chávarri, Antonio R. de",DIB/18/2/2055/1-6,1917,"Drawings, Posters, Photos",Ingeniería
160, [Ejercicio de dibujo a mano alzada],Melquiades II,DIB/18/2/2060,1918,"Drawings, Posters, Photos",Ingeniería
161, [Ejercicios de dibujo a mano alzada para Academia Oteiza III],"Chávarri, Antonio R. de",DIB/18/2/2058/1-5,1918,"Drawings, Posters, Photos",Ingeniería
162, [Ejercicios de dibujo a mano alzada para Academia Oteiza II],"Chávarri, Antonio R. de",DIB/18/2/2057/1-5,1918,"Drawings, Posters, Photos",Ingeniería
163, [Ejercicios de dibujo lineal para Academia Lara],"Chávarri, Antonio R. de",DIB/18/2/2054/1-4,1918,NA,Ingeniería
164, [Ejercicios de dibujo a mano alzada para Academia Lara],"Chávarri, Antonio R. de",DIB/18/2/2053/1-5,1918,NA,Ingeniería
165, Técnica [Texto impreso] : revista tecnológico industrial,Técnica (Barcelona),D/1226,1918,Newspapers/Magazines,Ingeniería
166, Cómo se forma un Ingeniero,"Lasarte y Pessino, José María de",1/82487,1918,Monographs,Ingeniería
167," Producción : [revista de agricultura, industria e ingeniería]",Producción (Madrid. 1919. Internet),ACCESO REMOTO,1919,Newspapers/Magazines,Ingeniería
168, [Ejercicio de dibujo lineal],Kamelusqui,DIB/18/2/2061,1919,"Drawings, Posters, Photos",Ingeniería
169, Ingeniería internacional [Texto impreso],Ingeniería internacional (New York),ZA/2728,1919,Newspapers/Magazines,Ingeniería
170," Producción [Texto impreso] : [revista de agricultura, industria e ingeniería]",Producción (Madrid. 1919),DGMICRO/1121,1919,Newspapers/Magazines,Ingeniería
