,Subject,Title
48,Técnica, Boas Festas
49,Técnica, [Escenas de ballet]
50,Técnica," Tratado de fotografía [Texto impreso] : comprende El origen y desarrollo de los procedimientos viejos y nuevos, una guía práctica y completa para el aficionado con gran número de fórmulas tomadas de los compendios más autorizados"
51,Técnica, When I Do Come Home!
52,Técnica, Ensayo sobre la ciencia y arte del dibujo
53,Técnica, D. Juan Tenorio
54,Técnica, [Niños jugando]
55,Técnica, [Escena de niños]
56,Técnica, [Figuras de mujeres]
57,Técnica, Balls regionals
58,Técnica, Les Saisons
59,Técnica, [Escenas de niños]
60,Energía, La Energía [Texto impreso]
61,Energía, La evolución de las fuerzas [Texto impreso] : ilustrada con 42 grabados
62,Energía," Elementos de electricidad industrial. Tomo V, Centrales y redes [Texto impreso]"
63,Energía, España Energía eléctrica 1919
64,Energía," La electricidad  y los caminos de hierro [Texto impreso] : descripción y exámen de los sistemas propuestos para evitar accidentes en los caminos de hierro por medio de la electricidad, precedidos de una reseña histórico-elemental de esta ciencia y de sus principales aplicaciones"
65,Energía," %5C%5C""Vivir%5C%5C"" [Texto impreso] : estudio de las medios de estimular la energía vital y de prolongar la vida"
66,Energía, Estudio de una línea aérea de transmisión de energía eléctrica
67,Energía," Discursos leídos ante la Real Academia de Ciencias Exactas, Físicas y Naturales, en la recepción pública del Sr. D. Francisco de Paula Rojas el día 21 de enero de 1894"
68,Energía, Discurso leído en la sesión inaugural de la Real Academia de Medicina y Cirugía de Zaragoza el año 1898 [Texto impreso]
69,Energía, La Energía eléctrica : revista general de electricidad y sus aplicaciones
70,Energía," Informe sobre la producción y distribución de electricidad, y sobre el material y servicio de la Compañía General Madrileña [Texto impreso]"
71,Energía, Fuerza y materia [Texto impreso] : estudios populares de historia y filosofía naturales
72,Energía, La atracción universal y el principio de la consevación de la energía [Texto impreso]
73,Energía," Patente García-Triguero : producción de fuerzas motrices inagotables para aplicaciones industriales, mercantiles, etc., con el auxilio de construcciones permanentes, higiénicas, incombustibles y económicas = Brevet García-Triguero : production de forces motrices inépuisables applicables aux industries mercantiles a l\'aide de constructions permanentes, hygiéniques, incombustibles et économiques"
74,Energía, La energía hidroeléctrica de España : antecedentes que deben tenerse en cuenta al redactar la nueva ley de aprovechamientos hidraúlicos para la producción de energía [Texto impreso]
75,Energía, Traída de aguas de Villa Sanjurjo : memoria
76,Energía, Discurso leído el día 2 de enero de 1878 en la sesión inaugural de la Real Academia de Medicina y Cirujía [sic] de Zaragoza [Texto impreso]
77,Energía, Centrales eléctricas líneas y redes de distribución para alumbrado y fuerza motriz [Texto impreso]
78,Energía, Las olas del mar : apuntes que se relacionan con el movimiento de las mismas y su aprovechamiento como fuerza motriz
79,Energía, Transporte y distribución de la energía eléctrica [Texto impreso]
80,Calderas, [Caldera de vapor]
81,Calderas, Proyecto de reglamentación de las industrias insalubres y peligrosas y de las calderas de vapor
82,Calderas, Tratado práctico de calderas de vapor [Texto impreso]
83,Calderas, Explosiones de generadores de vapor
84,Calderas, La caldera de vapor [Texto impreso] : lecciones abreviadas con ejemplos prácticos
85,Máquinas, Maquinaria de tejidos [Texto impreso]
86,Máquinas, El manivel [Texto impreso] : máquina hidráulica de mucha potencia para picar ó dar á las bombas de los buques en alta mar
87,Máquinas," Maquinas hydraulicas de molinos y herrerias, y govierno de los arboles, y montes de Vizcaya [Texto impreso]"
88,Máquinas, El torno grande [Material gráfico] ; y El Aspa de quenta
89,Máquinas, Las pequeñas industrias domésticas
90,Máquinas," Máquinas de labranza [Texto impreso] : preparación de los terrenos, distribución de abonos y semillas, entretenimiento de los cultivos"
91,Máquinas," Tratado completo de maquinaria, teórico y práctico : que comprende: los principios de esta ciencia, cálculo práctico de los mismos, su aplicación a toda clase de máquinas como son los relojes, bombas para elevar el agua y otras máquinas hidráulicas, molinos de viento, de agua, de vapor, filatura, tejidos, etc"
92,Máquinas, La medición en la construcción de máquinas [Texto impreso]
93,Máquinas, Plan del batan para batir las telas
94,Máquinas, Trillo económico dado á conocer por la Real Sociedad Económica de Amigos del Pais en la ciudad de Valladolid en obsequio de los labradores
95,Máquinas," Ingenieros del Ejército [Material gráfico] : Demostración experimental, 1922-23"
96,Máquinas, Instrumentos para Fabricar los Terciopelos [Material gráfico]
97,Máquinas," Real Cedula de S. M. y Señores del Consejo, en que se concede permiso y privilegio exclusivo por el término de diez años á Don Manuel Sanchez de la Campa, Buzo mayor de la Real Armada, para usar en los Puertos de España de una Máquina Hidráulica que ha inventado, con lo qual se puede extraer lo que se encuentre en el fondo del mar, baxo las condiciones que se expresan"
98,Máquinas, Tratado elemental de las máquinas de vapor
99,Máquinas, El torno grande ; y El Aspa de quenta
100,Máquinas, Tratado práctico de máquinas agrícolas y construcciones rurales [Texto impreso]
101,Máquinas," Catálogo general de las máquinas e instrumentos de agricultura más acreditados en Francia, Bélgica e Inglaterra [Texto impreso]"
102,Máquinas, [Aparatos para el blanqueo y avivado de las telas]
103,Máquinas, Averías en las máquinas electricas [Texto impreso]
104,Máquinas," Elementos de electricidad industrial. Tomo III, Máquinas eléctricas [Texto impreso]"
105,hidráulica," Memoria que presentó la Junta Directiva de la Mina de Riego de Santa Coloma de Gramanet a la Junta General de Propietarios de los tres pueblos de Santa Coloma de Gramanet, S. Adrián de Besós y Badalona, interesados en el riego de las aguas de dicha mina [Texto impreso]"
106,hidráulica, Memoria sobre el trazado y ventajas del proyecto del canal de riego de las  Cinco Villas de Aragón en la provincia de Zaragoza [Texto impreso]
107,hidráulica," Aguas artesianas, subterráneas y corrientes en la provincia de Madrid [Texto impreso] : su alumbramiento, extracción, conducción y aprovechamiento para riegos en toda España, ilustrada con hermosas láminas"
108,hidráulica, Curso de hidráulica 3ª parte obras que modifican el régimen de las corrientes descubiertas [Texto impreso]
109,hidráulica, Memoria ... [Texto impreso]
110,hidráulica, Hidráulica y Termodinámica [Texto impreso]
111,eléctrica, Agenda Montero para la industria eléctrica [Texto impreso]
112,eléctrica, Discurso leído en la Universidad Central [Texto impreso]
113,eléctrica, Memoria ... [Texto impreso]
114,eléctrica, Alumbrado eléctrico [Texto impreso]
115,eléctrica, Variaciones de la conductibilidad eléctrica de las aguas minerales
116,eléctrica, La ciencia puesta al alcance de todas las inteligencias : opúsculos sobre la luz eléctrica y telegrafía eléctrica
117,eléctrica, Gaceta industrial y ciencia eléctrica : revista general de conocimientos cientifico-industriales
118,eléctrica, La Ciencia eléctrica [Texto impreso] : revista quincenal consagrada a la ciencia y a las industrias eléctricas
119,eléctrica," La luz eléctrica y sus aplicaciones : al alumbrado público y particular, a la marina, a la guerra, a las fábricas y talleres"
120,eléctrica," Calefacción, fumistería, ventilación, alumbrado y electricidad"
121,eléctrica, Gaceta industrial y ciencia eléctrica [Texto impreso] : revista general de conocimientos cientifico-industriales
122,eléctrica," La Turbina [Texto impreso] : revista semestral de la Federación Nacional de Obreros de la Industria de Gas, Electricidad y similares de España"
123,eléctrica, Salto de Villalba de la Sierra Cuenca
124,eléctrica, Resúmen de los datos económicos de la construcción y explotación de dicho salto [Texto impreso]
125,eléctrica, Técnica de iluminación eléctrica [Texto impreso]
126,eléctrica, Por la riqueza de España [Texto impreso]
127,eléctrica, La Pequeña industria : revista popular de electricidad
128,eléctrica, La soldadura eléctrica [Texto impreso]
129,eléctrica, Estatutos de la Unión Eléctrica Madrileña
130,eléctrica, Estadística de la industria eléctrica en España ... [Texto impreso]
131,Electrotecnia, El electricista en casa [Texto impreso]
132,Electrotecnia, Nociones de electricidad [Texto impreso]
133,Electrotecnia, Pequeña enciclopedia electromecánica [Texto impreso]
134,Electrotecnia, El montador electricista [Texto impreso]
135,Electrotecnia, El Telégrafo español [Texto impreso] : revista decenal ilustrada
136,Electrotecnia, Tratado de electricidad [Texto impreso]
137,Electrotecnia, Aplicaciones domésticas científicas e industriales de la electricidad
138,Electrotecnia, Manual práctico del montador electricista [Texto impreso] : guía para el montaje y dirección de toda clase de instalaciones eléctricas curso de electricidad industrial práctica dado en la Federación profesional de obreros electricistas de Francia y Argelia
139,Electrotecnia, Electricidad gráfica [Texto impreso] : colección escogida de curvas y esquemas de conexiones referentes a todos los ramos de la electricidad industrial con numerosos y claros cuadros numéricos de cálculos hechos
140,Electrotecnia, La electricidad [Texto impreso]
141,Electrotecnia, Manual de electricidad popular
142,Electrotecnia, Electrón : revista decenal ilustrada del Cuerpo de Telégrafos
143,Electrotecnia, Memoria y proyecto sobre refundición de la Escuela de Ingenieros Electricistas para Ultramar en una Escuela Nacional de Telégrafos y de Ingenieros Electricistas [Texto impreso]
144,Electrotecnia, Primer curso de electrotecnia
145,Electrotecnia, El Telegrafista español [Texto impreso] : revista general de electricidad
146,Electrotecnia, La electricidad y sus principales aplicaciones [Texto impreso]
147,Electrotecnia, Tratado práctico de electricidad [Texto impreso]
148,Electrotecnia," Electricidad y mecánica : revista de ciencias, industria, mecánica, electricidad, minas, agricultura"
149,Electrotecnia," Elementos de electricidad industrial. Tomo I, Generalidades [Texto impreso]"
150,Electrotecnia," El electricista [Texto impreso] : revista general de electricidad, defensor de los intereses del Cuerpo de Telégrafos"
151,Telecomunicaciones, Reglamento orgánico del Cuerpo de Telégrafos [Texto impreso]
152,Telecomunicaciones, Programas del Cuerpo de Telégrafos [Texto impreso]
153,Telecomunicaciones," Contestación a las preguntas del programa general relativas a geografía postal de España [Texto impreso] : 1ª, 2ª y 3ª sección y geografía postal universal"
154,Telecomunicaciones," Pleito promovido por D. Jacinto Pliego Marco... contra la Administración General del Estado sobre exención de un exámen titulado de %5C%5C""Telegrafía Práctica%5C%5C"" que se le pretende exigir... para obtener el ascenso á director de sección de segunda clase y demás progresivos en la carrera : pendiente ante el Consejo de Estado [Texto impreso]"
155,Telecomunicaciones, La cuestión de los teléfonos : colección de artículos publicados por el diario político independiente Las Ocurrencias
156,Telecomunicaciones, Legislación general reglamentaria del Cuerpo de Comunicaciones de la Isla de Cuba [Texto impreso] : 1890
157,Telecomunicaciones, Tratado-compendio de geografía e itinerarios postales de España [Texto impreso]
158,Telecomunicaciones, Guinea española
159,Telecomunicaciones, Revista telegráfica [Texto impreso] : telecomunicaciones-electrónica
160,Telecomunicaciones, Reglamento para el régimen de la Junta Consultiva del Cuerpo de Telégrafos [Texto impreso]
161,Motores, Teoría y cálculo de las máquinas de vapor y de gas con arreglo a la termodinámica [Texto impreso]
162,Motores, Motores hidráulicos empleados en los trabajos industriales
163,Motores, Motores de corriente continua [Texto impreso]
164,Motores, Motores de corriente alternativa [Texto impreso]
165,Motores," Metodo práctico de los motores de cuatro tiempos a gasolina para %5C%5C""Chauffeurs%5C%5C"""
166,Motores," Descripción práctica de los motores Diesel a cuatro tiempos y simple efecto de 550 H.P. a 400 revoluciones instalados en el Submarino %5C%5C""Isaac Peral%5C%5C"" [Texto impreso]"
167,Motores, El motor Diesel fijo y marino [Texto impreso]
168,Motores, El motor Diesel en su funcionamiento terrestre y marítimo [Texto impreso]
169,Motores, Devanados y cambios de conexiones de los motores asincrónicos
170,Motores, Cámara del motor Sulzer y cuadro de distribución [Material gráfico]
171,Motores, Parte superior del motor Sulzer [Material gráfico]
172,Motores," El motorista práctico : estudio elemental, pero práctico, de los motores de combustión interna en su generalidad : explosión, diesel y semi-diesel al alcance de todo el mundo"
173,Motores, Motores de gas y de aceite [Texto impreso]
174,Engranajes, Manivelas de hierro y de fundicion
175,Engranajes, Engranages
176,Minería," Guía del minero [Texto impreso] : periódico científico, industrial y mercantil"
177,Minería," Representacion que la Junta de Fomento y Administrativa de Mineria dirige a la Augusta Cámara de Diputados, sobre el ramo que está á su cargo, con motivo de lo que acerca de él contiene la esposición del Escmo. Sr. ministro de Hacienda de 25 de julio del presente año, sobre el estado actual de la hacienda pública e iniciativas correspondientes para el establecimiento de impuestos y arreglo de la administracion y distribución de las rentas públicas [Texto impreso]"
178,Minería," Observaciones sobre la memoria que el ... Sr. Ministro de Hacienda leyó al soberano Congreso General en 4 de enero de 1825, respectivas a derechos de mineria"
179,Minería, Memoria sobre las minas de Río-Tinto [Texto impreso] : presentada al gobierno de S. M. con un Atlas de 10 láminas
180,Minería," Deseando el Rey nuestro Señor que cuanto antes se logre el fomento del ramo de Minería que se propuso en su Real decreto de 4 de Julio último, y evitar á los denunciadores de minas todo motivo de perjuicio, interin se verifica la instalacion de la Direccion general y nombramiento de Inspectores de Distrito con arreglo al expresado Real decreto"
181,Minería," Considerando el Rey nuestro Señor que la abundancia y excelente calidad de las producciones minerales que encubre el suelo de nuestra Peninsula, le dieron en la antigüedad el renombre de rica entre los paises de Europa, y persuadido de que su aprovechamiento descuidado en los siglos posteriores, puede ser uno de los medios mas eficaces para cubrir las necesidades que afligen á sus amados pueblos"
182,Minería," La Minería : periódico industrial y mercantil, complementario de la Revista minera"
183,Minería, Riquezas minerales e industrias extractivas [Texto impreso] : conferencia dada en francés el 4 de agosto de 1914
184,Minería, Memoria redactada por la comisión nombrada por el Instituto para estudiar las condiciones del trabajo en las Minas de Riotinto [Texto impreso]
185,Minería, Catálogo oficial de la Exposición de Minería y Metalurjia en Santiago de Chile [Texto impreso]
186,Minería," Señor. En el memorial que presento en este Real Consejo, en razon de los negocios de la villa imperial de Potosi, afirmo, que para que el azoguero que tiene vna cabeça de ingenio en la Ribera della, con 30. Indios de repartimiento general, pueda sanear la costa que le tienen los metales del cerro rico, es necessario, que cada caxon de 50. quintales de harina de metal, le acuda por lo menos a 42. libras de pella ... [Texto impreso]"
187,Minería, Asturias Minería 1926
188,Minería, España Minería 1891
189,Minería," Exposición hecha por la Comisión especial de mineria a la soberana Junta Gubernativa, sobre la necesidad de fomentar este ramo de industria con la baja de derechos que propuso en su dictamen de 24 de octubre proximo pasado [Texto impreso]"
190,Minería," Progreso, estado de las minas de plomos y alcóholes de la Sierra de Gador : indícanse los medios de su fomento"
191,Minería, Filipinas (Islas) Minería 18--
192,Minería," Memoria del Sr. Bachiller [sobre un socavón de desagüe desde el Mediterráneo al barraco Jaroso], abril de 1858"
193,Minería," Noticia de las Minas de Oro y Plata que hay en el Estado de México, con las distinciones que han podido deducirse de las constancias que ha recibido el Gobierno"
194,Minería, Sidueña (Cádiz) Minería Planos 17--
195,Minería," Por Alonso de Medina, y Gaspar Gallego, Estanqueros que fueron del Soliman, y Azogue en la Ciudad de Valladolid. Con Fernan Martinez Arrendador de la renta de Soliman y Azogue destos Reynos"
196,comunicación," Si por algun motivo particular ó personal tuviere Vm. ó sus Subalternos que hacer en derechúra al Superior Gobierno algunas Consultas ó Representaciones, cuidarán de que se ponga al margen de éllas un Membréte, Resúmen ó Extrácto de lo que comprehendan; y en el caso de remitir ó hacer á un mismo tiempo mas de úna, se acompañará un Indice numerado en que se ponga el respectivo Extrácto de todas"
197,comunicación, Carta dirigida al editor del diario de Madrid sobre el Arte de enseñar á hablar á los sordos y mudos de nacimiento
198,comunicación, Arte de callar principalmente en materia de religión [Texto impreso]
199,comunicación," Respuesta de algunos propietarios de fincas rústicas a la manifestación que ha hecho al público el Sr. Lic. Don Mariano Arizcorreta, Gobernador que fue del Estado de México [Texto impreso]"
200,comunicación," La palabra y sus manifestaciones : origen y desarrollo del lenguaje articulado, de la escritura, de la imprenta, de la litografía, del telégrafo, del teléfono y del fonógrafo"
201,Construcciones," Muy ilustre señor, por la villa de Lesaca, Juan Baptista Valentena, y consortes. Contra el prior, canonigos, y cabildo de la Casa Real de Roncesvalles. Sobre pertinencias, y goze de terminos"
202,Construcciones," Muy ilustre señor, por la Real Casa de Nuestra Señora de Roncesvalles. Contra la villa de Lesaca, y cosortes"
203,Construcciones," Muy ilustre señor, por la Real Casa de Roncesvalles contra Juan Bautista Valentena, y consortes, y la villa de Lesaca, opuesta. Sobre prendamientos, y demolicion de una Choza"
204,Construcciones," Iligan (Filpinas, Luzón) Fortificaciones 1739"
205,Construcciones, Capinatan (Filipinas) Fortificaciones 1739
206,Construcciones," Nueva Segovia (Filipinas, Fuerza de San Francisco) Fortificaciones 1739"
207,Construcciones," Cabicungan (Filipinas, Joló) Fortificaciones 1739"
208,Construcciones," Ytugud (Filipinas, Fuerza de Santiago) Fortificaciones 1739"
209,Construcciones," Tuao (Filipinas, Cagayán) Fortificaciones 1739"
210,Construcciones, Construcciones e industrias rurales. Tomo I : disposiciones que presentan y mejoras de que son susceptibles las que actualmente existen
211,Construcciones, Intensivos o superlativos de la lengua catalana : monografía leída en la sesión que celebró el día 14 de enero de 1895 la Real Academia de Buenas Letras de Barcelona
212,Construcciones," Sociedad Anónima, Construcciones Metálicas de Chamberí antes Talleres de Rolland [Texto impreso] : Nota Explicativa"
213,Construcciones, Sociedad Anónima de Cementos y Construcciones [Texto impreso]
214,Construcciones, Gramática comparada anglo-española [Texto impreso] : (estudio crítico de las oraciones impersonales)
215,Construcciones, Construcciones rurales [Texto impreso] : Proyecto y construcción de una casa de campo
216,Construcciones, Construcciones rurales [Texto impreso]
217,Construcciones, Pesebrera de hormigón armado [Texto impreso] : Anejo num. 1
218,Construcciones," Construcciones agrícolas [Texto impreso] : ingenieria, sanidad y arquitectura de las mismas en general y en particular de las de España"
219,Canales, Suplemento a la Gazeta de Madrid del martes 12 de Diciembre de 1775 [Texto impreso] : noticia al publico de un fondo á rentas vitalicias ... para la construccion de un canal de riego y navegacion en el Reino de Murcia ... concedidos á la Real Compañía titulada Pradez y Compañía por Real Cédula de S.M. de 4 de junio de 1775 á consulta del Consejo Supremo de Castilla
220,Canales, [Castillos a lo largo del canal desde Constantinopla al mar negro] [Material gráfico]
221,Canales," Canal de San Fernando, lateral al Guadalquivir"
222,Canales, [Canal en Holanda] [Material gráfico]
223,Canales, Muelle y canal en Deshaven [Material gráfico]
224,Canales," [Planta y vista del granero, bodega y habitación del S.or protector en Gallur] [Material gráfico]"
225,Canales, Canal en Holanda [Material gráfico]
226,Canales, [Un canal de Holanda] [Material gráfico]
227,Canales, El Canal de Villabroek en Bruselas en invierno [Material gráfico]
228,Canales," Reglamento para la Escuela Especial de Ingenieros de Caminos, Canales y Puertos"
229,Canales, Ensayo sobre un nuevo método geodésico para hacer en el terreno y representar en el papel los proyectos de canales
230,Canales," Memoria relativa á la execucion de un canal de navegacion y de riego, que con las aguas de los rios Xarama y Lozoya fructificasen las alturas de San Bernardino y del Retiro ... Presentada á una de las personas de la Corte de las mayores facultades en el Reino en agosto del año de 1803 por un amante de la prosperidad nacional"
231,Canales, Egipto
232,Canales," Segundo suplemento al catálogo de la Biblioteca de la Escuela Especial de Ingenieros de Caminos, Canales y Puertos [Texto impreso]"
233,Canales, Un canal en Holanda [Material gráfico]
234,Canales, [Planta y perfil de cuatro inclusas construidas en el Canal Imperial] [Material gráfico]
235,Canales," Descripcion y noticia del santuario de María Santísima con el título de Soledad que se venera en Rio-Puertos, término de la Villa de Canales, Arzobispado de Burgos"
236,Canales," Relación de los proyectos, planos y modelos presentados en la Exposición anexa al IX Congreso Internacional de Higiene y Demografía Madrid, año de 1898 [Texto impreso]"
237,Canales, América Central Mapas generales 1888
238,Canales," Propuesta de ley que hace S.M. a las Cortes sobre caminos y canales del Reino, mandada imprimir de orden de las Cortes : con los oficios del Secretario de Estado y del Despacho de la Gobernacion de la Peninsula; y juntamente la Memoria de la Comisión de Caminos y Canales"
239,riegos, [Traslado del oficio del Ministerio de Fomento a Francisco Mellado tesorero del Sindicato de Riegos de Lorca]
240,riegos, [Comunicación del Ministerio de Fomento a Francisco Mellado]
241,riegos, [Comunicación del Ministerio de Fomento a Juan Mariano Poyato]
242,riegos, Reglamento del Canal de Albacete
243,riegos, Croquis general del Canal de Serós. D. carlos E. Montañés : Obsequio de Riegos y Fuerza del Ebro S.A
244,riegos, El río Guadiana alto : la Sociedad de Riegos del Valle del Guadiana y los pueblos de Argamasilla y Tomelloso
245,sanitaria," Don Martin Rodón y Béll, medico del Real Hospital de este departamento, don Francisco Martinez, que lo es de la ciudad, don Francisco Durand, medico y cirujano del regimiento suizo de Kruter, y don Diego Conejo, primer cirujano de la Armada, en cumplimiento de la comision, que por orden del señor don Alfonso Alburquerque, Intendente general de Marina ... se nos confirió ... para que inspeccionando las libretas que se han formado en el Real Hospital de esta plaza por los mancebos de botica ... deduxesemos el numero de los que hubiesen muerto ó curado con los nuevos metodos curativos del inspector de epidemias, puestos en uso por ... Francisco Llorens"
246,sanitaria, Morbosidad y mortalidad infecto-contagiosa en la República Oriental de Uruguay : año 1908
247,sanitaria," Reglamento de aplicación para la inspección sanitaria de establecimientos, edificios y vehiculos de servicio público [Texto impreso]"
248,sanitaria, La higiene en la enseñanza [Texto impreso] ; El tracoma y la escuela : trabajos leídos por su autora en el Congreso Nacional de Pediatría celebrado en San Sebastián en septiembre de 1923
249,sanitaria, La lucha contra la tuberculosis en España
250,sanitaria, Discurso leído en la Universidad Central  por el licenciado D. Domingo Vaca y Mesa [Texto impreso] : en el solemne acto de recibir la investidura de doctor en Medicina y Cirujía [sic]
251,sanitaria," Memoria anual del primer consultorio de niños de pecho en Madrid, leída el 14 de Mayo de 1911... año VII-1910 [Texto impreso]"
252,sanitaria, Reglamento para la asistencia de los pobres y organización de los partidos médicos de la Península [Texto impreso] :  y Reglamento para los baños minerales
253,sanitaria, [Consulta médica] [Material gráfico]
254,sanitaria," Los consultorios de niños de pecho : (gotas de leche) : su origen e importancia, necesidad de su propagación en España : conferencias dadas en el Ateneo de Madrid los días 16, 23 y 30 de abril de 1905"
255,sanitaria, Reglamento
256,sanitaria, La campaña de Marruecos [Texto impreso] : memorias de un médico militar
257,sanitaria," Nuestras colonias en Guinea [Texto impreso] : consideraciones técnicas, sociales y políticas"
258,sanitaria," Yo, Bernardo Herrera de Salas, Escribano de S. Mag. del numero perpetuo de esta Ciudad de Badajòz, y de la Intendencia General de esta Provincia, Certifico, como trayendose al pregon los Reales Hospitales Militares de esta Provincia ... el Pliego del tenor siguiente ... Don Francisco Castelar, Assentista de los Reales Hospitales de la Provincia de Extremadura, à los Reales Pies de V. Mag. dice, que dedeando continuar el Servicio hecho à V. Mag. ... se obliga tener à su cargo por tiempo de seis años ... la manutencion, assistencia, y curativa de los Militares enfermos, en los quatro Hospitales establecidos en las Plazas de Badajóz, Alburquerque, Alcantara, y Valencia de Alcantara, baxo las condiciones ò Articulos siguientes"
259,sanitaria, Contribución a la historia médico-quirúrgica de la última campaña de Cuba... [Texto impreso] : Hospital Militar de Alfonso XIII : estadística de operaciones practicadas y traumatismos asistidos en la Clínica de Heridos y Cirujía General del Médico Mayor
260,sanitaria, Grave violación de la sanidad pública : (presupuesto nacional de 1920-21)
261,sanitaria, Resumen estadístico de los servicios prestados por la Cruz Roja Española con motivo de las campañas de Cuba y Filipinas [Texto impreso]
262,sanitaria, De las inspecciones sanitarias fronterizas en general y particularmente de la establecida en Irún en 1892 (agosto-diciembre) [Texto impreso] : contribución al estudio de la profilaxis del cólera
263,sanitaria, Manual de inspección de carnes y sustancias usadas en la alimentación humana [Texto impreso] ; y Manual de derecho veterinario
264,sanitaria," Memoria anual del primer consultorio de niños de pecho en Madrid, leída el 16 de Junio de 1907... año III-1906... [Texto impreso]"
265,iluminación, Papeles referentes a la administración de México en los siglos XVIII-XIX. Volumen I [Manuscrito]
266,iluminación," Don Matias de Galvez, teniente general de los Reales Exércitos de S.M., virrey, gobernador y capitan general del Reyno de Nueva España ... En todas las grandes poblaciones se ha considerado conveniente la iluminacion de sus calles, así por la comodidad que resulta á sus habitantes, como por los desórdenes que precabe. Estos dos principales motivos han obligado á este Superior Gobierno á mandar por bando en distintas ocasiones se ilumine la ciudad, poniendo un farol en cada casa por sus respectivos vecinos"
