,Title,Author,Call_Number,Year,Type,Subject
18, Diccionario industrial : (artes y oficios de Europa y América),"Camps y Armet, Carlos 1857-1900",1/74688,1892,Monographs,Tecnología
19," El Mundo científico [Texto impreso] : periódico resumen de conocimientos útiles y adelantos científicos aplicables a las artes, a la industria y a la agricultura",El Mundo científico (Barcelona. 1899),AHS/21108,1899,Newspapers/Magazines,Tecnología
20, Nociones de Industria y comercio [Texto impreso] : para uso de las escuelas de 1ª enseñanza,"Paluzíe, Faustino 1833-1901",9/189676,1900,Monographs,Tecnología
21," El Mundo científico, inventos modernos [Texto impreso]",NA,Z/10743,1912,Newspapers/Magazines,Tecnología
22, La técnica [Texto impreso] : (psicología social),"Goldstein, Julio",12/271863,1913,Monographs,Tecnología
23, Ibérica : el progreso de las ciencias y de sus aplicaciones : revista semanal ilustrada,Ibérica (Barcelona. Internet),ACCESO REMOTO,1914,Newspapers/Magazines,Tecnología
24, Ibérica : el progreso de las ciencias y de sus aplicaciones : revista semanal ilustrada,Ibérica (Barcelona),Z/1179,1914,Newspapers/Magazines,Tecnología
25, Técnica [Texto impreso] : revista tecnológico industrial,Técnica (Barcelona),D/1226,1918,Newspapers/Magazines,Tecnología
26, El Constructor : revista mensual de vulgarización técnica,El Constructor (Barcelona. Internet),ACCESO REMOTO,1923,Newspapers/Magazines,Tecnología
27, El Constructor [Texto impreso] : revista mensual de vulgarización técnica,El Constructor (Barcelona),ZR/1381,1923,Newspapers/Magazines,Tecnología
28, Boletín tecnológico [Texto impreso] : órgano oficial de la Federación Nacional de Peritos Industriales y de la Agrupación Nacional de Peritos Químicos,NA,D/1926,1928,Newspapers/Magazines,Tecnología
29, Diccionario tecnológico hispano-americano,"Vizuete y Picón, Pelayo 1872-1933 director de la publicación",HA/20546,1930,Monographs,Tecnología
0, Teatro de los instrumentos y figuras matematicas y mecanicas  : Libro muy vtil y nesessario para todos estados de personas,"Besson, Jacques",R.MICRO/27789,1602,Monographs,Máquinas
1," Al serenissimo principe Emanuel Filiberto, gran prior de San Juan, generalissimo del mar. Don Geronimo de Ayanz ... sobre que no se puede hazer movimie[n]to perpetuo ... y assi mismo de la incertidumbre de la esfera del fuego y de la transmutacion de vnos elementos en otros","Ayanz y Beaumont, Jerónimo de 1553-1613",R/34183/10,1612,Monographs,Máquinas
2," Maquinas hydraulicas de molinos y herrerias, y govierno de los arboles, y montes de Vizcaya [Texto impreso]","Villarreal de Berriz, Pedro Bernardo 1670-1740",2/62171,1736,Monographs,Máquinas
3, Los Lizos baxos [Material gráfico],"Peña, Juan de la 1729-1774",ER/3795 (ENTRE LAS PP. 172 Y 173),1754,"Drawings, Posters, Photos",Máquinas
4, La Urdidera de la Urdimbre para los Lizos altos [Material gráfico],"Peña, Juan de la 1729-1774",ER/3795 (ENTRE LAS PP. 172 Y  173),1754,"Drawings, Posters, Photos",Máquinas
5, Los Lizos baxos [Material gráfico],"Peña, Juan de la 1729-1774",ER/3795  (ENTRE LAS PP. 172 Y 173),1754,"Drawings, Posters, Photos",Máquinas
6, Lizos bajos ûhorizontales [sic] [Material gráfico],"Peña, Juan de la 1729-1774",ER/3795 (P. 172),1754,"Drawings, Posters, Photos",Máquinas
7, Instrumentos para Fabricar los Terciopelos [Material gráfico],"Peña, Juan de la 1729-1774",ER/3795 (ENTRE LAS PP. 160 Y  161),1754,"Drawings, Posters, Photos",Máquinas
8, La urdidera p.a terciopelos [Material gráfico],"Andrade, José fl. 1715-1766",ER/3795  (ENTRE LAS PP. 160 Y 161),1754,"Drawings, Posters, Photos",Máquinas
9, La devanadera [Material gráfico],"Andrade, José fl. 1715-1766",ER/3795 (P. 156),1754,"Drawings, Posters, Photos",Máquinas
10, La prensa para dar lustre â las telas [Material gráfico],"Andrade, José fl. 1715-1766",ER/3795 (ENTRE PP. 152-153),1754,"Drawings, Posters, Photos",Máquinas
11, La Calandria [Material gráfico],"Peña, Juan de la 1729-1774",ER/3795 (P. 152),1754,"Drawings, Posters, Photos",Máquinas
12, La Perchadura [Material gráfico],"López, Nemesio fl. 1754-1780",ER/3795 (ENTRE LAS PP. 147 Y 148),1754,"Drawings, Posters, Photos",Máquinas
13, Plan delos [sic] Batanes [Material gráfico],"López, Nemesio fl. 1754-1780",ER/3795 (P. 148),1754,"Drawings, Posters, Photos",Máquinas
14, La Urdidera [Material gráfico],"Peña, Juan de la 1729-1774",ER/3795 (P. 144),1754,"Drawings, Posters, Photos",Máquinas
15, El torno grande [Material gráfico] ; y El Aspa de quenta,"López, Nemesio fl. 1754-1780",ER/3795 (P. 142),1754,"Drawings, Posters, Photos",Máquinas
16, Lizos altos ô perperdiculares,"Andrade, José fl. 1715-1766",ER/3795 (P. 174),1754,"Drawings, Posters, Photos",Máquinas
17, Machina ô Molino para hacer laminas visto de perfil [Material gráfico],"López, Nemesio fl. 1754-1780",ER/3796 (ENTRE LAS PP. 64 Y 65),1755,"Drawings, Posters, Photos",Máquinas
18, La Machina para Fundir el Plomo [Material gráfico],"González, José fl. 1752-1796",ER/3796 (ENTRE LAS PP. 64 Y  65),1755,"Drawings, Posters, Photos",Máquinas
19, Machina para tirar las Planchas d[e] Plomo [Material gráfico],"González, José fl. 1752-1796",ER/3796 (P. 64),1755,"Drawings, Posters, Photos",Máquinas
20, Molino de Abrillantar Diamantes [Material gráfico],"González, José fl. 1752-1796",ER/3796 (P. 60),1755,"Drawings, Posters, Photos",Máquinas
21, La prensa para dar lustre â las telas,"Andrade, José fl. 1715-1766",3/37657 (ENTRE LAS PP. 152 Y 153),1757,"Drawings, Posters, Photos",Máquinas
22, El torno grande ; y El Aspa de quenta,"López, Nemesio fl. 1754-1780",3/37657 (P. 142),1757,"Drawings, Posters, Photos",Máquinas
23," Coleccion general de maquinas escogidas entre todas las que hasta hoy se han dado á luz en Inglaterra, Francia, Italia y otras partes, y en que se comprehenden los utensilios y demás maquinas que se han inventado para facilitar las operaciones de los artes y oficios, segun los publica la Real Academia de las Ciencias de París : tomo primero","Ramírez, Andrés impresor",VE/336/7,1773,Monographs,Máquinas
24, Instruccion y methodo nuevo de labrar las tierras por medio de una maquina con quatro arados y una yunta de bueyes,"Cárdenas, Salvador",2/50011,1775,Monographs,Máquinas
25," Disertacion y descripcion de una nueva Maquina, o Volvedor, que unido a la Trilla comun Facilita el trillar las Mieses","Manzanares, Juan Cristóbal",R.MICRO/4328(3),1777,Monographs,Máquinas
26," Maquina facil para apagar cualquier incencio : sacada del Tom. I de la Real Academia de las Ciencias de París á fox. 259 núm. 38 acomodada con materiales de esta Ciudad de México y exâminada en pequeño, como se dirá al fin","Guerrero y Torres, Francisco Antonio de 1727-1792",VE/339/30,1782,Monographs,Máquinas
27," Coleccion general de maquinas : escogidas entre las que hasta hoy se han publicado en Francia, Inglaterra, Italia, Suecia, y otras partes : tomo primero [-segundo]","Suárez y Núñez, Miguel Jerónimo m. 1791",2/67715,1783,Monographs,Máquinas
28," Nueva maquina para elevar el agua por medio de una soga vertical sin fin ó cuyos extremos estan unidos : (publicada en el Mercurio del mes de julio de 1782, pag. 250) : con dos extractos del Diario de París, que tratan de ella, y una Disertacion sobre sus efectos comparados con los de otras Máquinas de esta clase ya conocidas","Suárez y Núñez, Miguel Jerónimo m. 1791 traductor",2/32697,1783,Monographs,Máquinas
29, [Máquinas para sacar agua] [Material gráfico],"Brieva, Simón 1752-1795",ER/2698 (56),1787,"Drawings, Posters, Photos",Máquinas
30," [Método de Ctesifonte, Metágenes y de Paconio] [Material gráfico]","Fabregat, José Joaquín 1748-1807",ER/2698 (55),1787,"Drawings, Posters, Photos",Máquinas
31, [Método para erigir la máquina tractoria] [Material gráfico],"Brieva, Simón 1752-1795",ER/2698 (54),1787,"Drawings, Posters, Photos",Máquinas
32, [Tipos de máquinas tractorias] [Material gráfico],"Brandi, Mariano fl. 1779-1824",ER/2698 (53),1787,"Drawings, Posters, Photos",Máquinas
33, Maquina de atar el Punto de Media [Material gráfico],"Cuco, Pascual m. 1793","3/74129(P.64, LÁM.3)",1788,"Drawings, Posters, Photos",Máquinas
34, Maquina de agramar cañamo [Material gráfico],"Cuco, Pascual m. 1793","3/74129(P.64, LÁM.2)",1788,"Drawings, Posters, Photos",Máquinas
35, Maquina para reducir a polvo los Palos de Brasil y Campeche [Material gráfico],"Cuco, Pascual m. 1793","3/74129(P.64, LÁM. 1)",1788,"Drawings, Posters, Photos",Máquinas
36," Real Cedula de S.M. y señores del Consejo, en que se concede provilegio exclusivo por término de veinte años á don Simon Plá y Mensa, y Compañía, para la introduccion en el reyno de las bombas de fuego, llamadas de doble inyeccion, baxo las condiciones que se expresan",España jurisdicción promulgadora,VE/460/48,1790,Monographs,Máquinas
37," Don Geronimo Giron, Motezuma, Ahumada, y Salcedo ... Gobernador Militar, y Político de la Plaza de Barcelona, y su distrito. Habiendo recibido una Real Cédula de S.M., y Señores del Consejo ... en que se concede privilegio exclusivo por término de veinte años, á Don Simon Plá y Mensa, y Compañía, para la introduccion en el Reyno de las Bombas de fuego, llamadas de doble inyeccion, baxo las condiciones que se expresan",Barcelona Corregimiento,R/45062(155),1790,Monographs,Máquinas
38, Instruccion metodica sobre los mueres,"Fos, Joaquín Manuel",ER/3922,1790,Monographs,Máquinas
39, [Máquina para alisar y abrillantar las telas] [Material gráfico],"Barcelón, Juan 1739-1801",ER/3922 (LÁM. 12),1790,"Drawings, Posters, Photos",Máquinas
40, Perfil de dicha Calandria [Material gráfico],"Barcelón, Juan 1739-1801",ER/3922 (LÁM. 2),1790,"Drawings, Posters, Photos",Máquinas
41, [Calandria en funcionamiento] [Material gráfico],"Barcelón, Juan 1739-1801",ER/3922 (LÁM. 3),1790,"Drawings, Posters, Photos",Máquinas
42, [Piezas componentes de una calandria] [Material gráfico],"Barcelón, Juan 1739-1801",ER/3922 (LÁM. 4),1790,"Drawings, Posters, Photos",Máquinas
43, Plan Geométrico de la Calandria [Material gráfico],"Barcelón, Juan 1739-1801",ER/3922 (LÁM. 1),1790,"Drawings, Posters, Photos",Máquinas
44," La Real Junta de Comercio de este Principado, ocupada siempre del deseo de promover el uso de las Maquinas, que facilitando á los Artefactos la baratura y perfeccion que conviene, quiten ó minoren el consumo que logran los extrangeros con grave daño de nuestras Fabricas, que es de su instituto fomentar; ha dispuesto que desde hoy, y por el tiempo de seis meses, se tenga de manifiesto y corriente en su Casa Lonja una Maquina de hilar estopa de seda, lino, cañamo, estambre y lana ... inventada por Juan Pedro Cavaille",Junta de Comercio de Barcelona,R/45062(217),1792,Monographs,Máquinas
45, Catalogo del Real Gabinete de máquinas [Texto impreso],"López de Peñalver, Juan 1763?-1835",3/46927,1794,Monographs,Máquinas
46," Real Cedula de S. M. y Señores del Consejo, en que se concede permiso y privilegio exclusivo por el término de diez años á Don Manuel Sanchez de la Campa, Buzo mayor de la Real Armada, para usar en los Puertos de España de una Máquina Hidráulica que ha inventado, con lo qual se puede extraer lo que se encuentre en el fondo del mar, baxo las condiciones que se expresan",España,VE/1465/8,1799,Monographs,Máquinas
47, [Máquina para rallar patatas y sacar almidón] [Material gráfico],"Gamborino, Miguel 1760-1828",2/24103 (P. 40),1800,"Drawings, Posters, Photos",Máquinas
48, Descripcion y diseño del trillo presentado á la Real Sociedad Económica de Amigos del Pais de Madrid : anunciado de órden de S. M. en la Gaceta de 27 de junio de este año,"Álvarez Guerra, Juan 1789-1845",1/37552,1815,Monographs,Máquinas
49, Trillo económico dado á conocer por la Real Sociedad Económica de Amigos del Pais en la ciudad de Valladolid en obsequio de los labradores,Real Sociedad Económica de Amigos del País de Valladolid,1/44924,1816,Monographs,Máquinas
50," Idea de los barcos de vapor ó Descripcion de su maquina, relacion de sus progresos, é indicacion de sus ventajas [Texto impreso]","Mármol, Manuel María del 1776-1840",VC/631/1,1817,Monographs,Máquinas
51, Plan para el Grabado de Cilindro,"Amills, Juan m. 1854","2/2098(P. 327, ESTAMPA Nº 4)",1819,"Drawings, Posters, Photos",Máquinas
52, [Aparatos para el blanqueo y avivado de las telas],"Amills, Juan m. 1854","2/2098(P. 327, ESTAMPA Nº 3)",1819,"Drawings, Posters, Photos",Máquinas
53, Plan del batan para batir las telas,"Casas, Antonio 1802-1834","2/2098(P. 327, ESTAMPA Nº 2)",1819,"Drawings, Posters, Photos",Máquinas
54, Plan del aparato para la lavadura de las telas,Folch fl. 1819,"2/2098(P. 327, ESTAMPA Nº 1)",1819,"Drawings, Posters, Photos",Máquinas
55, [Cilindro para la impresión de las telas],"Casas, Antonio 1802-1834","2/2098(P. 327, ESTAMPA Nº 7)",1819,"Drawings, Posters, Photos",Máquinas
56, [Cilindro para la impresión de las telas],"Casas, Antonio 1802-1834","2/2098(P. 327, ESTAMPA Nº 6)",1819,"Drawings, Posters, Photos",Máquinas
57," Carta de Tomás González, en respuesta a una consulta sobre la utilización de un ingenio de vapor para mover las naves, por Blasco de Garay, en 1543. Madrid, julio de 1826 [Manuscrito]","González, Tomás 1780-1833",MSS/12951/10,1826,Manuscripts and Personal Archives,Máquinas
58," Descripción de las máquinas de vapor y de sus más importantes aplicaciones : redactada con presencia de las mejores obras, y de los informes de los primeros artistas de los Estados Unidos de América","Martínez y Tacón, Juan José n. 1792",1/78214,1835,Monographs,Máquinas
59, Exposición elevada a S.M. por los fundidores y constructores de máquinas sobre la reforma que se propone introducir el Gobierno en los aranceles,NA,VC/10024/42,1846,Monographs,Máquinas
60," Tratado completo de maquinaria, teórico y práctico : que comprende: los principios de esta ciencia, cálculo práctico de los mismos, su aplicación a toda clase de máquinas como son los relojes, bombas para elevar el agua y otras máquinas hidráulicas, molinos de viento, de agua, de vapor, filatura, tejidos, etc","Arau y Sampons, Francisco",1/76059,1848,Monographs,Máquinas
61, Programa descriptivo de la faja hidráulica,"Monteiro, Luis Antonio",VC/10037/22,1850,Monographs,Máquinas
62, Exposición elevada al Excmo. señor ministro de Hacienda por los fundidores y constructores de máquinas de Barcelona sobre los derechos que en su concepto deberían imponerse a los hierros y máquinas a su importación del estranjero,NA,VC/10024/41,1850,Monographs,Máquinas
63, El manivel [Texto impreso] : máquina hidráulica de mucha potencia para picar ó dar á las bombas de los buques en alta mar,"Letamendi, Agustín de 1793-1854",1/244760,1850,Monographs,Máquinas
64," Manual práctico de la construcción de los instrumentos y máquinas aratorias, carros, prensas y cuanto concierne a la agricultura en general [Texto impreso]","Hidalgo Tablada, José de 1814-1890",1/50500,1851,Monographs,Máquinas
65," Manual práctico de la construcción de los instrumentos y máquinas aratorias, carros, prensas y cuanto concierne a la agricultura en general. Primera parte, Instrumentos y máquinas aratorias [Texto impreso]","Hidalgo Tablada, José de 1814-1890",1/83185(1),1852,Monographs,Máquinas
66, Manejo de las máquinas de vapor de a bordo : impreso de orden de S.M. para uso de los alumnos del Colegio Naval Militar,"Chacón y Orta, Francisco",DL/2144081,1852,Monographs,Máquinas
67, Estudios que sobre la agricultura en sus varias aplicaciones ha hecho en la Exposición Universal de París el Doctor D. Fernando Amor y Mayor... [Texto impreso],"Amor y Mayor, Fernando 1822-1863",1/44110,1856,Monographs,Máquinas
68, Tratado de las Máquinas de Vapor aplicadas á la propulsion de los buques [Texto impreso],"Carranza y Echevarría, José 1828-1897",1/41775,1857,Monographs,Máquinas
69," Catálogo general de las máquinas e instrumentos de agricultura más acreditados en Francia, Bélgica e Inglaterra [Texto impreso]","Malingre, S.",VC/995/11,1858,Monographs,Máquinas
70, Breve idea de las máquinas de vapor y de sus aplicaciones a la navegación,"Chacón y Orta, Francisco",1/35799,1858,Monographs,Máquinas
71," La maquinaria moderna, ó sea Tratado científico-práctico del cálculo, construccion, empleo y manejo de toda clase de máquinas de vapor para marina, industria y carriles, práctica de la hilatura de algodón y tejidos mecánicos, hidraúlica, etc. : ilustrado con 100 preciosas láminas. [Tomo II]-Tomo III, Sección de hilados y tejidos mecánicos [Texto impreso]","Gotti, José",3/90267,1859,Monographs,Máquinas
72, Tratado elemental de las máquinas de vapor,"Lardner, Dionysius 1793-1859",1/35538,1861,Monographs,Máquinas
73, Memoria acerca de la Exposición Universal de 1862 [Texto impreso],"Rubio y Díaz, Vicente",1/3356,1862,Monographs,Máquinas
74, [Maquinaría de un barco de vapor] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/615,1863,"Drawings, Posters, Photos",Máquinas
75, [Hélice] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/323,1863,"Drawings, Posters, Photos",Máquinas
76, [Secciones transversales de la torre del piloto] [Material gráfico],"Monleón y Torres, Rafael 1843-1900",DIB/14/40/2,1863,"Drawings, Posters, Photos",Máquinas
77, Memoria sobre los ensayos de instrumentos y máquinas agrícolas presentada a la Excma. Diputación Provincial de Jaén [Texto impreso],"Abela y Sainz de Andino, Eduardo 1836-1908",VE/827/39,1865,Monographs,Máquinas
78," Memoria sobre el ensayo de la máquina de trillar de Ransomes, practicado en agosto de 1865, en el cortijo de Valcargado, término de Utrera [Texto impreso]","Corbacho Reina, Francisco",VC/2621/7,1866,Monographs,Máquinas
79, Máquinas-Laminador,"Federico, Francisco de 1846-1910",DIB/18/1/4433,1868,"Drawings, Posters, Photos",Máquinas
80, Informe del comisionado del gobierno de la provincia de Buenos Aires sobre el ensayo de las máquinas e instrumentos de agricultura que tuvo lugar en las margenes del rio 2º en diciembre de 1870 [Texto impreso],NA,HA/922,1871,Monographs,Máquinas
81, Maquinas neumática y contraneumática de efecto indefinido o de compartimentos [Texto impreso],"Escriche y Mieg, Tomás 1844-1918",VC/627/33,1871,Monographs,Máquinas
82," Riegos por medio de norias, bombas y otras máquinas [Texto impreso]","Balaguer y Primo, Francisco 1841-1880",1/36615,1873,Monographs,Máquinas
83, Máquina separadora de minerales [Texto impreso] : indicaciones generales para su uso,"Bremón, Privilegio",VC/150/1,1876,Monographs,Máquinas
84, Legítimas máquinas americanas para coser Wheeler &amp; Wilson,Grant &amp; Company (Londres) impresor,CART.P/152,1878,"Drawings, Posters, Photos",Máquinas
85, Teoría y descripción de una nueva máquina neumática de efecto ilimitado y contraneumática de hasta dos atmósferas [Texto impreso],"Carbajal Cabrero, M.",VC/1481/35,1878,Monographs,Máquinas
86," Curso de máquinas de vapor : que comprende la descripción, el manejo y el entretenimiento de los principales tipos de calderas, máquinas y propulsores, usados en la navegación de vapor","Fernández y Rodríguez, Gustavo 1841-1929",1/26592,1879,Monographs,Máquinas
87, Catecismo de las máquinas navales y terrestres... [Texto impreso],"Barrera y Bodet, Santiago",1/11981,1879,Monographs,Máquinas
88, Curso elemental de máquinas marinas de vapor : seguido de apéndices sobre aparatos auxiliares hidráulicos y alumbrado eléctrico,"Fernández y Rodríguez, Gustavo 1841-1929",1/59454,1879,Monographs,Máquinas
89," Anuario del industrial, del fabricante y del inventor : compendio de utilidad a los propietarios, arquitectos y constructores",NA,1/13882,1880,Monographs,Máquinas
90, Las pequeñas industrias domésticas,"Gironi Cabra, Gabriel",BU/12321,1881,Monographs,Máquinas
91, Máquinas agrícolas [Texto impreso] : manual práctico dedicado al conocimiento de los instrumentos y máquinas agrícolas que ofrecen mayor interés en España,"Abela y Sainz de Andino, Eduardo 1836-1908",4/2438,1883,Monographs,Máquinas
92, Curso de Máquinas de Vapor [Texto impreso],"Fernández y Rodríguez, Gustavo 1841-1929",1/72035,1883,Monographs,Máquinas
93, Guia de los maquinistas de máquinas fijas de vapor [Texto impreso] : arreglada al programa de las materias teorico-prácticas sobre que debe versar su exámen propuesto al... Ministro de Fomento en 21 de abril de 1884,"Barrera y Bodet, Santiago",1/37121,1885,Monographs,Máquinas
94, El indicador de presiones y sus aplicaciones [Texto impreso],"Molinas, Juan A. n. 1842",2/32963,1886,Monographs,Máquinas
95," El Ingeniero y ferretero español y sud-americano [Texto impreso] : con el cual está incorporada %5C%5C""La Gaceta sud-americana y de España%5C%5C""",NA,ZA/1967,1887,Newspapers/Magazines,Máquinas
96, Maquinaria [Texto impreso],"Bruna y García Suelto, Ramiro de 1844-1907",1/35906,1892,Monographs,Máquinas
97, Máquinas agrícolas [Texto impreso] : manual práctico dedicado al conocimiento de los instrumentos y máquinas agrícolas que ofrecen mayor interés en España,"Abela y Sainz de Andino, Eduardo 1836-1908",1/54134,1898,Monographs,Máquinas
98, Tratado práctico de máquinas agrícolas y construcciones rurales [Texto impreso],"Menul, Georges",1/78833,1902,Monographs,Máquinas
99," [Adela, Aurelia, Eleuteria Pérez y su madre Filomena de Jesús Fernández]",NA,17/268/136,1905,"Drawings, Posters, Photos",Máquinas
100, Cuatro temas [Texto impreso],"Laso de la Vega y Górriz, Juan",1/21341,1906,Monographs,Máquinas
101, Devanados de generadores y motores eléctricos [Texto impreso],"Caro y Anchía, Ricardo m. 1918",DL/1290611,1910,Monographs,Máquinas
102, Averías en las máquinas electricas [Texto impreso],"Alsina y Alsina, Francisco",DL/2067694,1910,Monographs,Máquinas
103, Devanados de generadores y motores eléctricos [Texto impreso],"Caro y Anchía, Ricardo m. 1918",FI/493&lt;9&gt;,1910,Monographs,Máquinas
104, Manual práctico del montador de máquinas,"Lozano, Emilio",1/106416,1910,Monographs,Máquinas
105, Estación de ensayo de máquinas del Instituto Agricola de Alfonso XII [Texto impreso] : Memoria del año 1910,"Arce, José de 1849-1930",1/57599,1911,Monographs,Máquinas
106, Los últimos adelantos en mecánica y electricidad [Texto impreso],"Lozano, Emilio",12/263643,1912,Monographs,Máquinas
107, Las cadenas-hélices y su aplicación a la minería [Texto impreso],"Menéndez Ormaza, Joaquín m. 1938",VC/566/32,1914,Monographs,Máquinas
108, Memorias presentadas por los obreros pensionados en el extranjero,NA,SG/3922,1914,Newspapers/Magazines,Máquinas
109, Máquinas y motores [Texto impreso],"Aragón Montejo, José",9/203417,1915,Monographs,Máquinas
110, El vapor y sus maravillas,"Lockert, Édouard",DL/2144157,1917,Monographs,Máquinas
111, Construcción de máquinas eléctricas [Texto impreso],"Sintes Olives, Francisco F.",VC/7294/30,1921,Monographs,Máquinas
112," Ingenieros del Ejército [Material gráfico] : Demostración experimental, 1922-23",NA,17/134,1922,"Drawings, Posters, Photos",Máquinas
113," Elementos de electricidad industrial. Tomo III, Máquinas eléctricas [Texto impreso]","Roberjot, P.",12/708986,1924,Monographs,Máquinas
114, La AEG al día [Texto impreso],NA,AHS/47268,1925,Newspapers/Magazines,Máquinas
115," Máquinas de labranza [Texto impreso] : preparación de los terrenos, distribución de abonos y semillas, entretenimiento de los cultivos","Coupan, Gastón",5/12464&lt;49&gt;,1926,Monographs,Máquinas
116, La medición en la construcción de máquinas [Texto impreso],"Zipperer, L.",10/154625,1927,Monographs,Máquinas
117," Manual del maquinista práctico : calderas y máquinas de vapor marinas. Aritmética, geometría, higiene naval","Valle Collantes, Francisco",SG/4618,1928,Monographs,Máquinas
118, Construcción de máquinas [Texto impreso] : elementos de tecnología mecánica,"Steinbrings, D. W.",1/91383,1929,Monographs,Máquinas
119," El libro del ajustador mecánico : (labra, soldadura y acabado de las piezas metálicas) : recetas y procedimientos de trabajo modernos","Kennedy, Jimmy 1902-1984",10/158324,1930,Monographs,Máquinas
120, Hispano Olivetti [Material gráfico] : un regalo que conserva su valor,"Kiss, E.",CART.P/346,1930,"Drawings, Posters, Photos",Máquinas
121, Maquinaria de tejidos [Texto impreso],"Fox, Thomas W.",12/264969,1930,Monographs,Máquinas
0, Obra de agricultura [Texto impreso],"Herrera, Alonso de 1470-1539",R.MICRO/1729,1513,Monographs,Agricultura
1, Obra de agricultura,"Herrera, Alonso de 1470-1539",R.MICRO/3753,1524,Monographs,Agricultura
2, Libro de agricultura [Texto impreso],"Herrera, Alonso de 1470-1539",R.MICRO/3754,1524,Monographs,Agricultura
3, Libro de agricultura : que es de labrança y criança y de muchas otras particularidades y puechos d[e] las cosas del campo,"Herrera, Alonso de 1470-1539",R.MICRO/3766,1528,Monographs,Agricultura
4, Libro de agricultura que es de la labr¯aça y criança y de muchas otras cosas del campo [Texto impreso],"Herrera, Alonso de 1470-1539",R.MICRO/3755,1551,Monographs,Agricultura
5, Libro de agricultura : que tracta de la labrança y criança y de muchas otras particularidades y prouechos del ca[m]po,"Herrera, Alonso de 1470-1539",R.MICRO/3751,1569,Monographs,Agricultura
6," Dialogos de la fertilidad y abundancia de España, y la razon porque se ha ydo encareciendo [Texto impreso] :  con el remedio para que buelua todo à los precios passados  y la verdadera manera d[e] cauar y arar las tierras","Valverde Arrieta, Juan de",R.MICRO/38479,1578,Monographs,Agricultura
7," Libro de agricultura, que tracta de la labrança y criança, y de otras muchas otras particularidades y prouechos del campo","Herrera, Alonso de 1470-1539",R.MICRO/3750,1584,Monographs,Agricultura
8, Libro de la agricultura :que trata de la labrança y criança y de muchas otras particularidades y provechos del campo,"Herrera, Hernando Alonso de ca. 1460-1527",R/37873,1598,Monographs,Agricultura
